wqdt,bCod,bTn
2019-01-01,14.4,10.37
2019-01-02,14.0,10.181
2019-01-03,12.2,9.746
2019-01-04,12.6,8.88
2019-01-05,15.0,9.691
2019-01-06,17.7,14.623
2019-01-07,18.2,20.472
2019-01-08,15.0,17.249
2019-01-09,12.5,11.237
,12.1,12.13
2019-01-11,12.6,7.985
,13.2,10.126
2019-01-13,13.4,8.393
2019-01-14,12.9,8.446
2019-01-15,12.4,8.203
2019-01-16,11.7,4.058
2019-01-17,12.7,4.356
2019-01-18,12.7,5.438
2019-01-19,14.1,6.144
2019-01-20,15.6,6.036
2019-01-21,13.8,6.415
2019-01-22,12.5,9.014
2019-01-23,13.5,7.174
2019-01-24,12.9,6.386
2019-01-25,12.4,6.144
2019-01-26,12.0,6.847
2019-01-27,13.1,5.981
2019-01-28,13.2,6.007
2019-01-29,11.6,7.037
2019-01-30,13.0,5.114
2019-01-31,13.2,4.085
2019-02-01,13.9,3.353
2019-02-02,13.3,3.218
2019-02-03,13.1,6.252
2019-02-04,14.4,10.884
2019-02-05,13.5,14.323
2019-02-06,14.7,11.426
2019-02-07,15.0,9.854
2019-02-08,14.0,6.334
2019-02-09,14.2,2.974
2019-02-10,13.4,3.353
2019-02-11,14.4,3.382
2019-02-12,14.8,2.813
2019-02-13,13.8,5.928
2019-02-14,12.8,4.274
2019-02-15,12.9,5.249
2019-02-16,13.8,6.766
2019-02-17,14.7,4.519
2019-02-18,15.0,6.766
2019-02-19,13.8,6.415
2019-02-20,12.5,4.217
2019-02-21,13.0,5.167
2019-02-22,12.8,4.572
2019-02-23,13.1,5.386
2019-02-24,13.3,4.519
2019-02-25,12.6,5.791
2019-02-26,12.9,5.981
2019-02-27,12.6,5.575
2019-02-28,13.4,2.378
2019-03-01,13.9,2.784
2019-03-02,14.0,4.464
2019-03-03,14.1,5.628
2019-03-04,14.3,4.464
2019-03-05,13.8,3.95
2019-03-06,13.4,4.978
2019-03-07,13.3,3.245
2019-03-08,12.7,4.709
2019-03-09,14.3,6.794
2019-03-10,14.0,2.758
2019-03-11,13.3,5.33
2019-03-12,13.8,6.576
2019-03-13,13.3,6.739
2019-03-14,13.8,6.334
2019-03-15,13.6,4.87
2019-03-16,12.7,5.494
2019-03-17,13.1,6.226
2019-03-18,13.3,4.654
2019-03-19,14.1,4.598
2019-03-20,17.6,8.364
2019-03-21,16.5,7.363
2019-03-22,14.1,2.405
2019-03-23,13.5,4.03
2019-03-24,16.5,8.338
2019-03-25,14.6,3.163
2019-03-26,14.5,3.461
2019-03-27,15.7,2.892
2019-03-28,15.0,3.516
2019-03-29,16.3,5.304
2019-03-30,15.7,4.627
2019-03-31,15.5,4.598
2019-04-01,15.6,5.114
2019-04-02,14.0,2.784
2019-04-03,13.5,5.167
2019-04-04,13.2,4.762
2019-04-05,12.5,3.787
2019-04-06,13.0,3.36
2019-04-07,13.0,4.08
2019-04-08,13.5,1.68
2019-04-09,15.5,2.64
2019-04-10,10.4,3.192
2019-04-11,9.6,4.925
2019-04-12,11.4,3.326
2019-04-13,12.4,4.193
2019-04-14,12.3,3.382
2019-04-15,12.7,5.249
2019-04-16,12.3,5.059
2019-04-17,14.6,5.438
2019-04-18,12.9,8.635
2019-04-19,10.4,4.14
2019-04-20,11.2,6.658
2019-04-21,11.4,3.382
2019-04-22,11.8,3.326
2019-04-23,11.7,5.494
2019-04-24,11.9,5.386
2019-04-25,10.5,5.386
2019-04-26,10.9,6.252
2019-04-27,10.6,7.932
2019-04-28,10.7,2.405
2019-04-29,10.9,9.449
2019-04-30,10.0,3.65
2019-05-01,9.7,6.756
2019-05-02,10.5,4.98
2019-05-03,10.3,4.56
2019-05-04,12.5,4.495
2019-05-05,12.2,3.914
2019-05-06,11.5,7.272
2019-05-07,11.8,3.59
2019-05-08,13.2,6.336
2019-05-09,11.9,6.902
2019-05-10,11.7,5.249
2019-05-11,13.2,7.553
2019-05-12,13.5,4.27
2019-05-13,13.4,5.076
2019-05-14,12.5,5.27
2019-05-15,12.7,5.592
2019-05-16,12.4,5.657
2019-05-17,11.8,6.077
2019-05-18,12.9,5.206
2019-05-19,12.8,5.885
2019-05-20,12.4,4.817
2019-05-21,12.5,5.11
2019-05-22,11.7,5.203
2019-05-23,12.1,4.358
2019-05-24,11.8,4.745
2019-05-25,11.3,5.87
2019-05-26,12.1,12.523
2019-05-27,11.1,8.124
2019-05-28,12.6,7.454
2019-05-29,12.6,5.87
2019-05-30,11.6,7.949
2019-05-31,11.0,4.711
2019-06-01,12.0,11.398
2019-06-02,11.9,8.616
2019-06-03,11.8,6.398
2019-06-04,13.0,6.998
2019-06-05,12.2,6.293
2019-06-06,12.3,4.078
2019-06-07,12.3,10.658
2019-06-08,11.6,9.096
2019-06-09,11.5,7.01
2019-06-10,11.7,9.665
2019-06-11,11.6,6.47
2019-06-12,11.5,6.365
2019-06-13,11.3,5.167
2019-06-14,11.3,6.962
2019-06-15,11.5,6.048
2019-06-16,11.4,6.259
2019-06-17,11.1,7.56
2019-06-18,12.1,4.639
2019-06-19,10.6,5.484
2019-06-20,11.5,5.239
2019-06-21,12.6,5.414
2019-06-22,12.7,3.478
2019-06-23,12.3,4.147
2019-06-24,12.9,7.596
2019-06-25,12.7,8.477
2019-06-26,11.9,7.349
2019-06-27,11.1,5.87
2019-06-28,10.6,8.335
2019-06-29,11.1,3.091
2019-06-30,12.3,8.441
2019-07-01,12.1,3.55
2019-07-02,11.8,9.883
2019-07-03,11.6,7.807
2019-07-04,11.6,5.167
2019-07-05,12.0,5.414
2019-07-06,11.9,6.048
,12.4,6.293
2019-07-08,12.1,6.998
2019-07-09,11.8,4.957
2019-07-10,11.8,4.921
2019-07-11,10.1,10.165
2019-07-12,11.9,6.54
2019-07-13,12.6,6.47
2019-07-14,11.8,7.21
2019-07-15,13.9,9.497
2019-07-16,12.5,13.507
2019-07-17,12.4,11.081
2019-07-18,12.0,8.071
2019-07-19,12.2,7.817
2019-07-20,12.4,6.034
2019-07-21,11.7,7.817
2019-07-22,11.5,7.721
2019-07-23,12.3,6.098
2019-07-24,12.8,7.466
2019-07-25,13.8,7.975
2019-07-26,12.9,6.514
2019-07-27,11.3,8.914
2019-07-28,11.9,9.382
2019-07-29,11.7,10.099
2019-07-30,9.4,2.707
2019-07-31,10.0,7.044
2019-08-01,10.3,7.697
2019-08-02,11.4,5.297
2019-08-03,11.1,3.924
2019-08-04,10.6,2.208
2019-08-05,10.7,7.198
2019-08-06,10.1,4.454
2019-08-07,10.3,4.08
2019-08-08,10.2,4.205
2019-08-09,10.9,9.007
2019-08-10,12.1,6.451
2019-08-11,10.7,5.39
2019-08-12,11.8,6.389
2019-08-13,11.3,9.881
2019-08-14,11.1,9.943
2019-08-15,10.9,6.576
2019-08-16,10.3,6.95
2019-08-17,10.9,7.166
2019-08-18,12.3,6.732
2019-08-19,11.3,5.827
2019-08-20,10.3,4.673
2019-08-21,12.5,7.822
2019-08-22,12.1,9.226
2019-08-23,11.0,8.57
2019-08-24,10.6,6.576
2019-08-25,11.2,4.735
2019-08-26,11.4,5.578
2019-08-27,11.7,5.578
2019-08-28,11.0,4.33
2019-08-29,11.1,7.728
2019-08-30,11.4,5.297
2019-08-31,11.2,6.794
2019-09-01,11.1,5.952
2019-09-02,12.0,4.454
2019-09-03,11.5,3.017
2019-09-04,11.2,4.37
2019-09-05,10.0,4.008
2019-09-06,9.7,3.809
2019-09-07,9.9,4.272
2019-09-08,11.1,5.561
2019-09-09,10.6,5.892
2019-09-10,10.4,7.212
2019-09-11,9.5,2.916
2019-09-12,9.7,7.907
2019-09-13,9.8,8.667
2019-09-14,9.9,11.013
2019-09-15,10.0,10.847
2019-09-16,9.8,10.054
2019-09-17,10.7,3.214
2019-09-18,10.3,2.057
2019-09-19,9.9,3.737
2019-09-20,9.3,2.989
2019-09-21,10.9,3.207
2019-09-22,9.5,4.704
2019-09-23,9.4,5.39
2019-09-24,9.2,5.498
2019-09-25,10.4,4.074
2019-09-26,9.8,5.693
2019-09-27,9.6,4.867
2019-09-28,10.5,3.908
2019-09-29,9.9,3.611
2019-09-30,10.1,5.296
2019-10-01,11.6,7.203
2019-10-02,12.5,5.369
2019-10-03,11.3,8.554
2019-10-04,11.5,7.363
2019-10-05,10.9,7.138
2019-10-06,10.9,7.91
2019-10-07,11.5,8.007
2019-10-08,11.8,7.332
2019-10-09,11.4,2.892
2019-10-10,11.9,4.275
2019-10-11,11.0,5.143
2019-10-12,11.2,6.881
2019-10-13,10.8,6.527
2019-10-14,11.8,7.718
2019-10-15,10.7,6.913
2019-10-16,10.1,8.2
2019-10-17,10.4,10.195
2019-10-18,10.8,6.592
2019-10-19,11.2,5.272
2019-10-20,11.8,7.493
2019-10-21,10.8,8.747
2019-10-22,10.3,5.53
2019-10-23,10.9,6.27
2019-10-24,11.3,3.567
2019-10-25,10.5,4.146
2019-10-26,11.6,5.884
2019-10-27,11.9,4.243
2019-10-28,12.4,5.401
2019-10-29,12.1,4.307
2019-10-30,12.0,3.438
2019-10-31,11.4,7.364
2019-11-01,11.9,4.275
2019-11-02,11.2,5.433
2019-11-03,12.1,5.112
2019-11-04,12.3,7.653
2019-11-05,11.8,5.755
2019-11-06,12.7,4.693
2019-11-07,12.3,7.299
2019-11-08,11.1,5.144
2019-11-09,12.3,8.2
2019-11-10,11.5,7.943
2019-11-11,12.6,6.27
2019-11-12,11.0,5.755
2019-11-13,11.5,6.27
2019-11-14,11.8,7.75
2019-11-15,11.7,3.396
2019-11-16,12.3,6.01
2019-11-17,12.7,6.954
2019-11-18,9.9,5.317
2019-11-19,8.8,4.435
2019-11-20,8.0,4.151
2019-11-21,8.5,4.687
2019-11-22,11.7,5.474
2019-11-23,10.4,8.34
2019-11-24,8.6,5.506
2019-11-25,10.9,4.876
2019-11-26,10.9,4.403
2019-11-27,12.9,7.427
2019-11-28,10.5,6.073
2019-11-29,11.7,5.758
2019-11-30,11.7,5.254
2019-12-01,11.3,3.522
2019-12-02,10.8,6.64
2019-12-03,9.2,7.805
2019-12-04,9.5,5.38
2019-12-05,10.5,7.238
2019-12-06,10.3,6.104
2019-12-07,9.7,4.183
2019-12-08,10.0,4.057
2019-12-09,9.6,4.813
2019-12-10,9.8,6.041
2019-12-11,9.8,5.443
2019-12-12,10.2,4.876
2019-12-13,10.4,4.939
2019-12-14,10.0,5.537
2019-12-15,10.4,6.01
2019-12-16,10.3,7.269
2019-12-17,10.7,6.419
2019-12-18,10.3,6.23
2019-12-19,10.8,6.167
2019-12-20,10.6,7.143
2019-12-21,11.0,4.403
2019-12-22,11.1,5.632
2019-12-23,11.2,6.325
2019-12-24,11.8,9.254
2019-12-25,10.5,6.577
2019-12-26,11.3,6.482
2019-12-27,11.1,4.403
2019-12-28,11.2,11.521
2019-12-29,12.0,8.088
2019-12-30,11.8,10.482
2019-12-31,11.0,8.75
2020-01-01,11.7,7.994
2020-01-02,12.1,7.773
2020-01-03,11.3,8.876
2020-01-04,11.9,6.577
2020-01-05,11.2,5.6
2020-01-06,11.6,5.065
2020-01-07,11.3,5.884
2020-01-08,10.6,6.451
2020-01-09,10.7,5.947
2020-01-10,10.1,5.222
2020-01-11,11.1,5.537
2020-01-12,12.0,5.758
2020-01-13,13.5,6.262
2020-01-14,11.5,6.01
2020-01-15,11.6,4.624
2020-01-16,9.5,6.577
2020-01-17,11.4,7.553
2020-01-18,10.5,5.726
2020-01-19,11.5,6.986
2020-01-20,11.3,6.23
2020-01-21,10.9,4.498
2020-01-22,11.3,7.805
2020-01-23,10.8,4.718
2020-01-24,11.9,5.821
2020-01-25,12.9,12.844
2020-01-26,12.6,16.151
2020-01-27,12.2,11.49
2020-01-28,11.8,11.017
2020-01-29,11.0,3.805
2020-01-30,10.7,3.868
2020-01-31,10.5,6.262
2020-02-01,10.7,4.561
2020-02-02,9.9,5.128
2020-02-03,10.9,6.23
2020-02-04,11.6,3.899
2020-02-05,11.7,3.712
2020-02-06,10.1,3.924
2020-02-07,10.6,5.496
2020-02-08,10.4,5.889
2020-02-09,11.0,5.587
2020-02-10,11.8,11.633
2020-02-11,11.7,14.717
2020-02-12,10.6,13.81
2020-02-13,11.9,5.496
2020-02-14,11.7,6.343
2020-02-15,10.3,6.252
2020-02-16,11.7,9.577
2020-02-17,9.6,6.343
2020-02-18,12.6,6.282
2020-02-19,10.8,3.985
2020-02-20,9.8,3.148
2020-02-21,10.1,3.214
2020-02-22,10.2,1.86
2020-02-23,10.1,2.058
2020-02-24,9.6,2.19
2020-02-25,10.1,3.416
2020-02-26,8.1,4.183
2020-02-27,9.6,4.302
2020-02-28,9.4,3.623
2020-02-29,8.9,2.678
2020-03-01,8.9,3.268
2020-03-02,12.1,3.652
2020-03-03,12.3,3.15
2020-03-04,12.2,2.777
2020-03-05,12.8,2.658
2020-03-06,9.9,3.935
2020-03-07,9.6,3.371
2020-03-08,9.6,4.945
2020-03-09,9.6,5.45
2020-03-10,9.7,3.371
2020-03-11,9.8,3.656
2020-03-12,9.5,4.434
2020-03-13,9.6,4.554
2020-03-14,9.9,4.943
2020-03-15,10.0,6.111
2020-03-16,10.6,6.86
2020-03-17,11.8,6.59
2020-03-18,10.2,3.019
2020-03-19,10.0,3.845
2020-03-20,9.7,3.403
2020-03-21,9.3,2.517
2020-03-22,9.4,2.104
2020-03-23,10.8,3.432
2020-03-24,10.6,3.344
2020-03-25,10.6,3.589
2020-03-26,10.0,3.989
2020-03-27,10.6,3.866
2020-03-28,10.2,3.281
2020-03-29,9.9,3.651
2020-03-30,10.0,3.774
2020-03-31,9.9,3.251
2020-04-01,10.6,3.835
2020-04-02,10.5,2.836
2020-04-03,10.4,3.212
2020-04-04,9.4,3.907
2020-04-05,9.5,4.196
2020-04-06,9.9,4.109
2020-04-07,10.2,3.039
2020-04-08,10.6,3.312
2020-04-09,9.9,3.524
2020-04-10,10.2,3.192
2020-04-11,10.0,2.769
2020-04-12,10.1,3.826
2020-04-13,10.3,4.339
2020-04-14,10.3,3.946
2020-04-15,10.0,2.709
2020-04-16,10.5,3.363
2020-04-17,10.4,3.394
2020-04-18,9.9,3.425
2020-04-19,10.2,4.61
2020-04-20,10.5,4.174
2020-04-21,10.6,4.766
2020-04-22,10.5,3.164
2020-04-23,10.8,4.716
2020-04-24,10.6,4.304
2020-04-25,10.5,5.349
2020-04-26,10.4,5.032
2020-04-27,11.2,4.304
2020-04-28,10.5,3.956
2020-04-29,10.1,3.81
2020-04-30,9.8,2.686
2020-05-01,10.9,3.228
2020-05-02,12.0,2.879
2020-05-03,12.1,5.571
2020-05-04,10.1,4.526
2020-05-05,9.9,4.083
2020-05-06,12.4,4.156
2020-05-07,11.6,3.194
2020-05-08,11.2,4.786
2020-05-09,10.2,4.156
2020-05-10,10.1,4.756
2020-05-11,10.4,5.327
2020-05-12,9.8,3.345
2020-05-13,10.5,4.318
2020-05-14,10.3,3.798
2020-05-15,11.2,3.961
2020-05-16,9.3,2.92
2020-05-17,9.2,5.261
2020-05-18,9.4,4.741
2020-05-19,10.2,3.398
2020-05-20,9.7,5.479
2020-05-21,10.4,7.527
2020-05-22,10.2,3.622
